Column1.PARTYMST_DESC,Industry,Sub-Industry / Activity,Confidence,Source
2/8 KRASNODAR,Unclassified,Insufficient information in name,Low,Name-derived
3 NVENEERS DENTAL LABORATORY,Healthcare,Dental laboratory,High,Name-derived
360 WELLNESS,Healthcare,Wellness & fitness services,Medium,Name-derived
360 WELLNESS,Healthcare,Wellness & fitness services,Medium,Name-derived
3C Metal Middle East,Oil & Gas Services,Piping & metal fabrication for oil & gas,High,Name-derived
3C Metal Middle East,Oil & Gas Services,Piping & metal fabrication for oil & gas,High,Name-derived
3C Metal Middle East,Oil & Gas Services,Piping & metal fabrication for oil & gas,High,Name-derived
3C Metal Middle East,Oil & Gas Services,Piping & metal fabrication for oil & gas,High,Name-derived
3C Metal Middle East,Oil & Gas Services,Piping & metal fabrication for oil & gas,High,Name-derived
3C Metal Middle East,Oil & Gas Services,Piping & metal fabrication for oil & gas,High,Name-derived
3S LIGHTING SOLUTIONS LLC,Electrical Trading,Lighting solutions,High,Name-derived
3S LIGHTING SOLUTIONS LLC,Electrical Trading,Lighting solutions,High,Name-derived
3S LIGHTING SOLUTIONS LLC,Electrical Trading,Lighting solutions,High,Name-derived
4 CORNERS,Unclassified,Insufficient information in name,Low,Name-derived
4 CORNERS,Unclassified,Insufficient information in name,Low,Name-derived
4 CORNERS,Unclassified,Insufficient information in name,Low,Name-derived
A A K MIDDLE EAST LLC BRANCH,Manufacturing - Food,Edible oils & specialty fats (AAK group),High,Name-derived
A A K MIDDLE EAST LLC BRANCH,Manufacturing - Food,Edible oils & specialty fats (AAK group),High,Name-derived
A AND J GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
A G C INVESTMENT L.L.C,Investment & Holding,Investment company,Medium,Name-derived
A G C INVESTMENT L.L.C,Investment & Holding,Investment company,Medium,Name-derived
A G C INVESTMENT L.L.C,Investment & Holding,Investment company,Medium,Name-derived
A G C INVESTMENT L.L.C,Investment & Holding,Investment company,Medium,Name-derived
A G C INVESTMENT L.L.C,Investment & Holding,Investment company,Medium,Name-derived
A G C INVESTMENT L.L.C,Investment & Holding,Investment company,Medium,Name-derived
A G K REFRESHMENTS L.L.C,Food & Beverage Trading,Beverages & refreshments,Medium,Name-derived
A ONE ADVERTISING LLC,Marketing Services,Advertising & signage,High,Name-derived
A ONE ADVERTISING LLC,Marketing Services,Advertising & signage,High,Name-derived
A ONE ADVERTISING LLC,Marketing Services,Advertising & signage,High,Name-derived
A.A.A. SERVICES CENTER LLC,Automotive Services,Vehicle service centre,Medium,Name-derived
A.A.A. SERVICES CENTER LLC,Automotive Services,Vehicle service centre,Medium,Name-derived
A.A.A. SERVICES CENTER LLC,Automotive Services,Vehicle service centre,Medium,Name-derived
AAA FAIR DEAL COMMERCIAL BROKER LLC,Financial Services,Commercial broking,Medium,Name-derived
AAGT INTERNATIONAL LLC,Trading & Distribution,Procurement & sourcing / import-export,High,Web-verified
AAGT INTERNATIONAL LLC,Trading & Distribution,Procurement & sourcing / import-export,High,Web-verified
AAGT INTERNATIONAL LLC,Trading & Distribution,Procurement & sourcing / import-export,High,Web-verified
AAGT INTERNATIONAL LLC,Trading & Distribution,Procurement & sourcing / import-export,High,Web-verified
AAGT INTERNATIONAL LLC,Trading & Distribution,Procurement & sourcing / import-export,High,Web-verified
AAGT INTERNATIONAL SURPLUS STORE,Retail,Surplus & general goods retail,Medium,Web-verified
AAGT INTERNATIONAL SURPLUS STORE,Retail,Surplus & general goods retail,Medium,Web-verified
AAGT INTERNATIONAL SURPLUS STORE,Retail,Surplus & general goods retail,Medium,Web-verified
AAK INTERNATIONAL TRADING L.L.C.,Food & Beverage Trading,Edible oils / fats distribution,Medium,Name-derived
AAK INTERNATIONAL TRADING L.L.C.,Food & Beverage Trading,Edible oils / fats distribution,Medium,Name-derived
