Company Name,Industry,Sub-Industry / Activity,Confidence,Source,Rows in source list
2/8 KRASNODAR,Unclassified,Insufficient information in name,Low,Name-derived,1
3 NVENEERS DENTAL LABORATORY,Healthcare,Dental laboratory,High,Name-derived,1
360 WELLNESS,Healthcare,Wellness & fitness services,Medium,Name-derived,2
3C Metal Middle East,Oil & Gas Services,Piping & metal fabrication for oil & gas,High,Name-derived,6
3S LIGHTING SOLUTIONS LLC,Electrical Trading,Lighting solutions,High,Name-derived,3
4 CORNERS,Unclassified,Insufficient information in name,Low,Name-derived,3
A.A.A. SERVICES CENTER LLC,Automotive Services,Vehicle service centre,Medium,Name-derived,3
A A K MIDDLE EAST LLC BRANCH,Manufacturing - Food,Edible oils & specialty fats (AAK group),High,Name-derived,2
A AND J GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
A G C INVESTMENT L.L.C,Investment & Holding,Investment company,Medium,Name-derived,6
A G K REFRESHMENTS L.L.C,Food & Beverage Trading,Beverages & refreshments,Medium,Name-derived,1
A ONE ADVERTISING LLC,Marketing Services,Advertising & signage,High,Name-derived,3
AAA FAIR DEAL COMMERCIAL BROKER LLC,Financial Services,Commercial broking,Medium,Name-derived,1
AAGT INTERNATIONAL LLC,Trading & Distribution,Procurement & sourcing / import-export,High,Web-verified,5
AAGT INTERNATIONAL SURPLUS STORE,Retail,Surplus & general goods retail,Medium,Web-verified,3
AAK INTERNATIONAL TRADING L.L.C.,Food & Beverage Trading,Edible oils / fats distribution,Medium,Name-derived,2
AAK MIDDLE EAST LLC,Manufacturing - Food,Edible oils & specialty fats (AAK group),High,Name-derived,4
AAMAAL GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
AANACART,E-commerce,Online retail platform,Medium,Name-derived,3
ABCON INTERNATIONAL DRUG STORE LLC,Pharmaceuticals,Pharmaceutical distribution,High,Name-derived,1
ABDUL HAMID ABEDI CO. (L.L.C),Fresh Produce & Grocery,Inferred from sibling entity 'Gholami & Abedi Fruits & Vegetables Co.',Low,Web-verified,1
ABDUL WAHED AHMED BIN SHABIB TRADING CO.,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
ABDUL WAHED BIN SHABIB TRADING L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
ABDUL WAHED BIN SHABIB WHOLESALE AND TRADE CO. SPC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
ABDULLA AHMED AL AWAZI GENERAL TRADING CO. LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
ABDULLA AHMED ZAMINPIMA AWAZI CO LLC,Trading & Distribution,Inferred from sibling entity 'Abdulla Ahmed Al Awazi General Trading Co. LLC',Low,Web-verified,1
ABDULLA AL ARIF INVESTMENT,Investment & Holding,Investment company,Medium,Name-derived,4
ABDULLA AL KHATTAL & ZAYED GENERAL TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
ABDULLA SAEEDI GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,3
ABDULWAHED BIN SHABIB DISTRIBUTION (BR OF AW BIN SHABIB INVESTEMENT LLC),Distribution,Wholesale distribution,Medium,Name-derived,1
ABDULWAHED BIN SHABIB DISTRIBUTION FZCO,Distribution,Wholesale distribution,Medium,Name-derived,1
ABDULWAHED BIN SHABIB DISTRIBUTION SPC,Distribution,Wholesale distribution,Medium,Name-derived,4
ABDULWAHED BIN SHABIB FOOD INDUSTRIES (BR OF AW BIN SHABIB INVESTMENT L.L.C),Manufacturing - Food,Food production,High,Name-derived,1
ABDULWAHED BIN SHABIB FOOD INDUSTRIES L.L.C,Manufacturing - Food,Food production,High,Name-derived,1
ABDULWAHED BIN SHABIB FOR DISTRIBUTION AND TRADE W.L.L,Distribution,Wholesale distribution,Medium,Name-derived,4
ABDULWAHED BIN SHABIB HOSPITALITIES (BR OF ABDULWAHED BIN SHABIB INVESTMENT GROUP L.L.C),Hospitality,Hospitality division of diversified group,High,Name-derived,4
ABDULWAHED BIN SHABIB INDUSTRY FZ-LLC,Manufacturing,Industrial division of diversified group,Medium,Name-derived,4
ABDULWAHED BIN SHABIB INVESTMENT GROUP L.L.C,Diversified Group,"Investment group - FMCG, industry & services",High,Name-derived,6
ABDULWAHED BIN SHABIB INVESTMENT GROUP LLC,Diversified Group,"Investment group - FMCG, industry & services",High,Name-derived,1
Abdulwahed Bin Shabib Security System (BR OF AW BIN SHABIB INVESTMENT L.L.C),Security Systems,Security systems division,High,Name-derived,4
ABDULWAHED BIN SHABIB TRADING W.L.L,Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
ABMAK QATAR WLL,Furniture & Interiors,"Furniture, furnishings & flooring for homes, offices & schools",High,Web-verified,2
ABN SCAFFOLDING LLC,Construction Services,Scaffolding supply & erection,High,Name-derived,8
ABU DHABI OIL COMPANY LIMITED (JAPAN),Oil & Gas,Upstream E&P operator (ADOC),High,Name-derived,16
ABU DHABI PIPE FACTORY,Manufacturing - Building Products,Pipes manufacturing,High,Name-derived,2
ABU HAIL FOODSTUFF TRADING,Food & Beverage Trading,Foodstuff trading,High,Name-derived,1
ABU SAYYAH EXPRESS CAFE & RESTAURANT L.L.C,Food Service,Cafe & restaurant,High,Name-derived,1
ABUSEEDO TRADING EST.,Trading & Distribution,General trading,Low,Name-derived,3
ABUWAFA VEG & FRUITS L.L.C,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,1
ACORUS PHARMA LLC,Pharmaceuticals,Pharmaceutical distribution,High,Name-derived,3
ACTION BUILDERS CONSTRUCTION LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
ADAM & EVE SPECIALIZED MEDICAL CENTRE LLC,Healthcare,Medical centre,High,Name-derived,1
ADANI GLOBAL FZE,Commodity Trading,Energy & resources trading (Adani group),High,Name-derived,8
ADVANCED EXPEDITION VEHICLES,Manufacturing - Automotive,Specialist vehicle conversion,High,Name-derived,1
ADVANCED INTEGRATION TECHNOLOGIES SP LLC,Industrial Automation,Systems integration,High,Name-derived,3
AERODUCT INDUSTRIES L.L.C,Manufacturing - HVAC,Air ducting systems,High,Name-derived,4
AESTHETIX TECHNOLOGIES LLC,Medical & Diagnostics,Aesthetic medical devices,High,Name-derived,7
AFRAH TOBACCO & CIGARETTES FACTORY FZ LLC,Manufacturing - Tobacco,Cigarette manufacturing,High,Name-derived,8
AFRIEXPO FZE,Trading & Distribution,Africa-focused export trading,Medium,Name-derived,1
AFRY SWITZERLAND LTD- DUBAI BRANCH,Engineering Consultancy,Infrastructure / energy consulting (AFRY),High,Name-derived,3
AG AUTO TRADING L.L.C,Automotive Retail,Vehicle trading,Medium,Name-derived,4
AG CORPORATION FZE,Fire & Safety,Safety equipment & PPE supply to oil & gas,High,Web-verified,3
AGILE MEDICAL SUPPLIES PVT. LTD.,Medical Supplies,Medical supplies,High,Name-derived,1
AGRI FRESH FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,6
AHMAD INDUSTRIES LLC,Manufacturing,Industrial manufacturing,Low,Name-derived,1
AHMAD OBAID SHIPPING LLC,Shipping,Shipping services,High,Name-derived,1
AHMED AL MAGHREBI PERFUME MANUF LLC,Manufacturing - Cosmetics,Perfume manufacturing,High,Name-derived,3
AHMED REZA TRADING CO.,Trading & Distribution,General trading,Low,Name-derived,2
AJMAN ACADEMY,Education,K-12 private school,High,Name-derived,1
AL AHD GENERAL CONTRACTING & MAINTENANCE COMPANY LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
AL AJDAN GROUP,Diversified Group,Diversified group,Low,Name-derived,2
AL AJM TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
AL AMAL GENERAL TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
AL AMANA MOTORS ZONE FOR TYRE FIXING & WHEEL ALIGNMENT SERVICES CO. L.L.C,Automotive Services,Tyres & wheel alignment,High,Name-derived,2
AL AMIN FRESH FRUITS,Fresh Produce & Grocery,Fruits wholesale,High,Name-derived,1
AL ANQAA ROADS MAINTENTENCE CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,2
AL AQARIYA GROUP ( REAL ESTATE TV),Media & Entertainment,Real estate TV / media,High,Name-derived,1
AL ARAB FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,1
AL AREEN INDUSTRIES,Manufacturing,Industrial manufacturing,Low,Name-derived,1
AL AREEN TRADING CO. LLC,Trading & Distribution,General trading,Low,Name-derived,1
AL ASEEL EGGS TRADING,Fresh Produce & Grocery,Eggs wholesale,High,Name-derived,1
AL AWALI TRADING CO LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,3
AL BAHRAIN JEWELLERS LLC,Jewellery & Precious Metals,Jewellery retail,High,Name-derived,1
AL BASRA ELECTRICAL & SANITARY CONT. L.L.C.,MEP & Electromechanical,Electrical & plumbing contracting,High,Name-derived,2
AL BASRA ELECTROMECHANICAL LLC,MEP & Electromechanical,MEP contracting,High,Name-derived,1
AL BORJ PLASTIC INDUSTRIES COMPANY LLC,Manufacturing - Plastics,Plastic products,High,Name-derived,9
AL BWARDY TECHNICAL & INDUSTRIAL L.L.C,Engineering Services,Technical & industrial services,High,Name-derived,3
AL BWARDY TECHNICAL & INDUSTRIAL LLC,Engineering Services,Technical & industrial services,High,Name-derived,3
AL-DAR GENERAL TRADING COMPANY,Trading & Distribution,General trading & wholesale,Medium,Name-derived,3
AL DHIYAFA INTERIORS LLC,Fit-Out & Joinery,Interior fit-out,High,Name-derived,4
AL DIYAR AL MOTAQADIMAH VEGETABLES & FRUITS,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,3
AL EKHA BUILDING MATERIALS TRADING,Building Materials Trading,Building materials & sanitaryware,Medium,Name-derived,1
AL ETIHAD GOLD REFINERY DMCC,Jewellery & Precious Metals,Gold refining,High,Name-derived,6
AL FARAH CONTRACTING AND GENERAL TRANSPORT COMPANY  LLC,Freight Transport,Road transport & haulage,Medium,Name-derived,2
AL FATTAN ENGINEERING L. L. C,Engineering Services,Engineering & contracting,Medium,Name-derived,1
AL FIKREE LEISURE LLC,Entertainment & Leisure,Leisure & marine activities,Medium,Name-derived,1
AL FINDI & PARTNERS,Unclassified,No industry signal in the name,Low,Name-derived,1
AL GHAITH CHEMICAL INDUSTRIES LLC,Manufacturing - Chemicals,Chemical products,High,Name-derived,1
AL GHAITH INDUSTRIES LLC,Manufacturing,Industrial manufacturing,Medium,Name-derived,2
AL GUTAIL TRADING EST.,Trading & Distribution,General trading,Low,Name-derived,1
AL HABAY TRADING CO.,Food & Beverage Trading,Foodstuff trading,Medium,Name-derived,1
AL HABBAI CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
AL HAMAD INDUSTRIES INTERNATIONAL F.Z.C.,Manufacturing,Industrial manufacturing,Low,Name-derived,2
AL HAMY METALS FACTORY LLC,Manufacturing - Metals,Metal products,High,Name-derived,1
AL HAYAT PHARMACEUTICALS,Pharmaceuticals,Pharmaceutical distribution,High,Name-derived,2
AL HAYAT PHARMACEUTICALS LLC SP,Pharmaceuticals,Pharmaceutical distribution,High,Name-derived,1
AL HOSON AL MASI TECHNICAL WORKS LLC,Technical Services,Technical & maintenance services,Medium,Name-derived,1
AL HOSON GROUPS,Diversified Group,Diversified group,Medium,Name-derived,3
AL HUMAIDI & CO LLC,Trading & Distribution,Inferred from sibling entity 'Al Humaidi Trading Enterprises LLC',Low,Web-verified,1
AL HUMAIDI TRADING ENTERPRISES L. L. C.,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
AL JABALI FOODSTUFF TRADING CO LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,1
AL JABALI GROUP,Diversified Group,Diversified group,Medium,Name-derived,8
AL JABALI TRADING L. L. C. (OMAN),Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
AL JAWDHA FOODS LLC,Food & Beverage Trading,Foodstuff supply,Medium,Name-derived,3
AL JOTHAN PERFUMES,Cosmetics & Personal Care,Perfume trading & retail,High,Name-derived,6
AL KARAMA MEAT TRADING LLC,Fresh Produce & Grocery,Meat wholesale,High,Name-derived,2
AL KENZ PHARMACEUTICAL PRODUCTS LLC,Pharmaceuticals,Pharmaceutical products,High,Name-derived,1
